timestamp,open,high,low,close,volume
1750118400,12.87,13.25,12.8,12.99,762098.81
1750204800,13.0,13.23,12.63,13.11,2573912.22
1750291200,13.12,13.38,12.91,13.07,1851285.83
1750377600,13.07,13.29,12.3,12.51,2738596.05
1750464000,12.51,12.75,11.69,12.03,2605780.15
1750550400,12.03,12.2,10.94,11.65,5918789.6
1750636800,11.65,12.97,11.39,12.82,4411334.51
1750723200,12.83,13.73,12.78,13.42,4188366.46
1750809600,13.42,13.51,12.99,13.13,2471771.03
1750896000,13.14,13.57,12.88,12.94,1893346.8
1750982400,12.94,13.23,12.73,13.05,1558205.31
1751068800,13.05,13.45,13.0,13.39,1200113.9
1751155200,13.4,13.88,13.24,13.7,1498678.23
1751241600,13.71,13.78,13.12,13.38,2514005.77
1751328000,13.37,13.44,12.78,12.9,1734062.81
1751414400,12.9,13.85,12.73,13.56,3263950.46
1751500800,13.55,14.08,13.43,13.67,3061053.26
1751587200,13.66,13.78,12.93,13.16,2145964.77
1751673600,13.16,13.27,12.99,13.23,900526.54
1751760000,13.23,13.7,13.1,13.48,1349555.74
1751846400,13.49,13.73,13.25,13.44,1830708.82
1751932800,13.43,14.0,13.2,13.96,2064962.22
1752019200,13.97,14.38,13.81,14.25,3387387.4
1752105600,14.25,15.34,14.15,15.23,3789246.68
1752192000,15.24,15.88,15.01,15.28,5080650.86
1752278400,15.29,15.48,14.7,15.11,2060919.92
1752364800,15.11,15.95,15.04,15.66,2764273.77
1752451200,15.66,16.47,15.57,15.75,4507587.92
1752537600,15.76,16.2,15.14,16.11,4643980.94
1752624000,16.11,17.04,15.82,16.67,5287087.42
1752710400,16.68,18.1,16.32,18.0,5904663.79
1752796800,18.0,19.17,17.32,17.83,9174118.14
1752883200,17.83,18.55,17.53,18.39,3650635.55
1752969600,18.4,20.01,18.32,19.27,6911594.44
1753056000,19.28,20.28,18.98,19.5,5619450.18
1753142400,19.49,19.99,18.63,19.66,5855280.76
1753228800,19.66,19.76,17.55,18.18,5010078.18
1753315200,18.18,18.69,17.15,17.91,4483165.69
1753401600,17.92,18.49,17.23,18.28,4032429.61
1753488000,18.29,18.64,18.16,18.41,2049354.9
1753574400,18.41,19.3,18.35,19.24,2938359.71
1753660800,19.24,19.56,17.97,18.12,3736717.03
1753747200,18.11,18.64,17.47,17.83,3802532.57
1753833600,17.84,17.95,16.77,17.71,3659853.89
1753920000,17.72,18.24,16.84,16.92,3516703.42
1754006400,16.93,17.03,15.67,16.07,6610546.3
1754092800,16.07,16.27,15.43,15.65,3023394.29
1754179200,15.64,16.4,15.44,16.3,1579840.27
1754265600,16.3,17.2,16.27,17.11,2701936.82
1754352000,17.12,17.12,16.08,16.38,3046165.48
1754438400,16.39,16.91,16.03,16.67,1844029.67
1754524800,16.67,18.5,16.57,18.48,5571750.6
1754611200,18.47,19.98,18.08,19.89,7663560.63
1754697600,19.89,21.99,19.78,21.94,7563414.97
1754784000,21.95,22.7,21.15,22.06,8655572.56
1754870400,22.07,22.61,20.84,21.07,7095724.29
1754956800,21.07,24.2,21.0,23.6,11374582.29
1755043200,23.6,24.74,23.23,23.98,11235490.05
1755129600,23.98,24.31,21.51,22.46,10838260.75
1755216000,22.45,23.04,21.36,21.76,5502258.56
1755302400,21.75,22.97,21.39,22.64,4847903.21
1755388800,22.64,26.33,22.36,25.64,11607242.36
1755475200,25.64,26.76,24.29,25.78,16005492.4
1755561600,25.79,25.81,23.42,23.56,12457022.21
1755648000,23.56,26.89,23.36,26.45,14580303.4
1755734400,26.45,26.6,24.63,24.82,8579726.43
1755820800,24.82,27.87,24.09,26.79,17391120.82
1755907200,26.8,26.83,25.52,26.28,6342745.06
1755993600,26.28,26.62,25.21,25.82,7437373.67
1756080000,25.82,26.46,23.08,23.38,10082049.36
1756166400,23.38,24.76,22.88,24.38,8019450.82
1756252800,24.37,24.69,23.58,23.78,7229659.66
1756339200,23.78,26.03,23.56,25.18,12872418.89
1756425600,25.18,25.23,23.11,23.43,9640370.92
1756512000,23.43,23.52,22.83,23.51,2759889.54
1756598400,23.51,24.06,23.18,23.2,4221549.06
1756684800,23.2,23.87,22.09,22.51,6922598.37
1756771200,22.52,23.6,22.34,23.49,5570998.65
1756857600,23.49,23.91,23.21,23.69,3694295.37
1756944000,23.69,23.97,22.18,22.32,3947853.36
1757030400,22.32,23.24,22.04,22.28,6727388.7
1757116800,22.28,22.52,21.87,22.19,2487454.71
1757203200,22.2,22.61,22.12,22.47,1891346.07
1757289600,22.47,23.31,22.23,23.04,3767545.95
1757376000,23.04,23.82,22.83,23.05,4633041.62
1757462400,23.05,23.93,22.89,23.57,3302753.17
1757548800,23.57,24.5,23.31,24.47,4025863.56
1757635200,24.47,25.33,24.16,25.13,4645718.7
1757721600,25.12,25.64,24.44,24.88,4154255.78
1757808000,24.88,25.02,23.84,24.09,2601143.16
1757894400,24.1,24.44,22.97,23.56,3698495.94
1757980800,23.56,23.76,23.1,23.48,2566010.45
1758067200,23.49,24.24,22.75,23.99,5315579.68
1758153600,24.0,24.75,23.68,24.62,3504432.03
1758240000,24.63,24.89,23.27,23.47,4258058.9
1758326400,23.48,23.66,23.09,23.34,1692009.53
1758412800,23.33,23.49,22.9,22.96,1321893.75
1758499200,22.95,23.05,20.24,21.65,8224657.83
1758585600,21.66,22.05,21.17,21.52,3338803.5
1758672000,21.52,21.97,20.98,21.6,4170756.29
1758758400,21.61,21.66,19.82,20.14,6221553.31
1758844800,20.15,21.24,19.93,21.07,3841681.96
1758931200,21.07,21.15,20.73,20.91,986010.15
1759017600,20.92,21.71,20.43,21.68,1599640.6
1759104000,21.68,21.9,20.9,21.74,2497335.67
1759190400,21.73,21.87,20.96,21.3,2883237.53
1759276800,21.31,22.63,21.05,22.58,3207385.07
1759363200,22.57,23.13,21.93,22.77,3766228.87
1759449600,22.78,23.09,22.09,22.5,4104599.03
1759536000,22.5,22.62,21.76,22.01,2081829.77
1759622400,22.02,22.94,21.88,22.0,2618277.27
1759708800,22.0,23.6,21.47,23.37,5609599.65
1759795200,23.37,23.73,21.75,21.79,5844902.56
1759881600,21.8,22.67,21.62,22.63,2790526.23
1759968000,22.63,22.67,21.32,21.99,3321045.72
1760054400,22.0,22.78,7.9,17.31,23919723.86
1760140800,17.31,19.0,16.6,17.2,11458227.87
1760227200,17.2,19.42,16.68,19.0,7320321.66
1760313600,19.0,20.19,18.73,19.84,8049413.89
1760400000,19.84,20.07,18.07,19.1,7462448.83
1760486400,19.1,19.26,17.73,18.06,4509983.09
1760572800,18.05,18.63,17.1,17.43,5003348.51
1760659200,17.42,17.69,15.69,16.61,7835846.2299999995
1760745600,16.61,17.01,16.57,16.82,1907438.23
1760832000,16.81,17.66,16.53,17.29,3899283.36
1760918400,17.29,19.19,16.93,18.66,7350769.65
1761004800,18.66,18.97,17.53,17.61,7395919.32
1761091200,17.6,17.84,16.71,17.2,4748622.1
1761177600,17.2,17.79,17.09,17.44,3347662.36
1761264000,17.44,17.72,17.29,17.69,521477.99
1766016000,12.65,12.81,11.74,11.93,2563025.8
1766102400,11.93,12.51,11.84,12.4,1223832.1
1768521600,13.71,13.75,13.64,13.73,136757.58
1768608000,13.73,13.9,13.63,13.75,931201.13
1768694400,13.74,13.83,13.62,13.8,662362.9
