timestamp,open,high,low,close,volume
1750176000,3.676,3.676,3.666,3.669,21724.7
1750179600,3.667,3.719,3.663,3.687,508584.22000000003
1750183200,3.687,3.726,3.681,3.724,170108.95
1750186800,3.724,3.767,3.722,3.747,351674.45999999996
1750190400,3.746,3.755,3.727,3.73,147949.32
1750194000,3.731,3.738,3.705,3.719,144405.8
1750197600,3.72,3.721,3.697,3.7,103629.31
1750201200,3.7,3.737,3.7,3.719,79964.57
1750204800,3.719,3.751,3.716,3.745,113498.83
1750208400,3.745,3.76,3.731,3.733,92500.76
1750212000,3.734,3.747,3.727,3.731,121129.36
1750215600,3.731,3.76,3.73,3.752,131126.34
1750219200,3.753,3.78,3.748,3.775,77995.94
1750222800,3.775,3.786,3.77,3.773,58737.13
1750226400,3.773,3.777,3.741,3.752,88541.75
1750230000,3.751,3.755,3.741,3.75,93536.29
1750233600,3.751,3.76,3.715,3.73,95220.97
1750237200,3.73,3.735,3.702,3.71,103891.62
1750240800,3.711,3.711,3.693,3.705,74861.56
1750266000,3.608,3.63,3.572,3.618,477359.46
1750269600,3.618,3.645,3.583,3.587,588447.82
1750273200,3.587,3.637,3.581,3.598,326455.72
1750276800,3.597,3.675,3.589,3.664,283490.92
1750280400,3.664,3.672,3.643,3.663,239132.93
1750284000,3.661,3.67,3.633,3.636,186136.77
1750287600,3.635,3.648,3.598,3.622,256822.73
1750291200,3.622,3.657,3.603,3.629,308391.07
1750294800,3.629,3.63,3.583,3.591,388482.4
1750298400,3.591,3.612,3.582,3.591,423100.82
1750302000,3.59,3.609,3.59,3.605,169597.3
1750305600,3.605,3.609,3.584,3.605,215901.45
1750309200,3.604,3.617,3.585,3.586,262598.7
1750312800,3.586,3.595,3.561,3.569,330924.21
1750316400,3.569,3.58,3.567,3.57,283795.79
1750320000,3.57,3.585,3.558,3.559,261090.36000000002
1750323600,3.558,3.588,3.554,3.576,323736.37
1750327200,3.576,3.582,3.564,3.578,89209.29000000001
1750352400,3.51,3.567,3.5,3.556,412995.68
1750356000,3.555,3.58,3.548,3.569,161579.93
1750359600,3.568,3.576,3.547,3.555,125105.57
1750363200,3.555,3.571,3.543,3.551,93473.63
1750366800,3.551,3.567,3.543,3.55,152815.67
1750370400,3.55,3.573,3.55,3.558,163892.21
1750374000,3.558,3.559,3.537,3.548,98295.39
1750377600,3.547,3.563,3.54,3.55,125271.76
1750381200,3.55,3.554,3.53,3.55,159575.11000000002
1750384800,3.551,3.552,3.521,3.526,114826.67
1750388400,3.526,3.527,3.505,3.51,196495.35
1750392000,3.51,3.514,3.467,3.474,498702.96
1750395600,3.473,3.492,3.459,3.487,511672.62
1750399200,3.488,3.498,3.47,3.477,242799.59
1750402800,3.476,3.541,3.47,3.54,359872.52999999997
1750406400,3.54,3.566,3.528,3.537,361904.49
1750410000,3.536,3.543,3.515,3.516,235099.72
1750413600,3.516,3.519,3.497,3.51,77204.22
1750438800,3.439,3.444,3.33,3.423,1714135.18
1750442400,3.422,3.445,3.41,3.413,393524.77999999997
1750446000,3.413,3.429,3.395,3.423,202921.75
1750449600,3.423,3.456,3.422,3.448,142513.13
1750453200,3.448,3.452,3.43,3.433,172034.58
1750456800,3.433,3.435,3.398,3.417,185389.66
1750460400,3.418,3.441,3.409,3.437,145613.15
1750464000,3.437,3.453,3.434,3.436,143340.28
1750467600,3.436,3.462,3.434,3.462,142156.16999999998
1750471200,3.462,3.465,3.444,3.451,111572.23
1750474800,3.45,3.462,3.445,3.459,82892.83
1750478400,3.458,3.462,3.444,3.45,76426.01
1750482000,3.451,3.485,3.45,3.484,167310.86
1750485600,3.484,3.495,3.476,3.489,120348.35
1750489200,3.489,3.496,3.476,3.481,161403.09
1750492800,3.482,3.508,3.473,3.505,93975.82
1750496400,3.505,3.506,3.487,3.491,151586.45
1750500000,3.492,3.498,3.487,3.492,57243.17
1750525200,3.408,3.424,3.374,3.384,187091.28
1750528800,3.385,3.415,3.368,3.372,208006.63
1750532400,3.371,3.377,3.344,3.347,390917.43
1750536000,3.346,3.381,3.342,3.372,222135.91999999998
1750539600,3.372,3.376,3.209,3.274,1192208.8800000001
1750543200,3.277,3.318,3.271,3.316,330812.16000000003
1750546800,3.317,3.332,3.26,3.324,841385.69
1750550400,3.325,3.363,3.3,3.34,441725.16
1750554000,3.338,3.35,3.292,3.292,245639.32
1750557600,3.293,3.309,3.252,3.269,328506.85
1750561200,3.27,3.277,3.235,3.259,253163.04
1750564800,3.26,3.289,3.248,3.278,194388.66
1750568400,3.278,3.295,3.271,3.293,115188.3
1750572000,3.292,3.322,3.286,3.318,103399.77
1750575600,3.318,3.326,3.278,3.284,217616.65
1750579200,3.284,3.302,3.269,3.29,162398.27
1750582800,3.291,3.306,3.247,3.255,280398.3
1750586400,3.257,3.278,3.249,3.272,71798.37
1750611600,3.158,3.204,3.148,3.184,290320.13
1750615200,3.185,3.192,3.163,3.166,288902.43
1750618800,3.166,3.178,3.133,3.146,240949.04
1750622400,3.146,3.149,3.007,3.106,2548962.06
1750626000,3.106,3.136,3.064,3.071,378117.24
1750629600,3.071,3.149,3.069,3.148,534710.0
1750633200,3.148,3.16,3.131,3.153,310516.49
1750636800,3.153,3.183,3.134,3.149,460478.34
1750640400,3.15,3.16,3.123,3.16,175377.45
1750644000,3.16,3.172,3.149,3.165,184752.94
1750647600,3.165,3.182,3.155,3.179,154278.65
