timestamp,open,high,low,close,volume
1750176000,16.27,16.27,16.24,16.24,542.54
1750179600,16.24,16.44,16.19,16.35,25147.989999999998
1750183200,16.34,16.54,16.33,16.53,14065.71
1750186800,16.54,16.8,16.54,16.7,18479.76
1750190400,16.7,16.76,16.59,16.59,11137.01
1750194000,16.6,16.64,16.5,16.58,8231.63
1750197600,16.57,16.57,16.35,16.38,12063.83
1750201200,16.38,16.56,16.38,16.47,4401.99
1750204800,16.48,16.59,16.43,16.54,9553.47
1750208400,16.55,16.64,16.52,16.53,9073.61
1750212000,16.53,16.56,16.45,16.47,6434.93
1750215600,16.47,16.6,16.47,16.57,1789.3999999999999
1750219200,16.57,16.71,16.55,16.67,11005.34
1750222800,16.67,16.67,16.6,16.61,4389.7300000000005
1750226400,16.61,16.63,16.53,16.54,3500.94
1750230000,16.54,16.6,16.5,16.58,2983.0099999999998
1750233600,16.58,16.63,16.46,16.49,12122.52
1750237200,16.49,16.55,16.39,16.42,8619.94
1750240800,16.42,16.42,16.36,16.41,2218.97
1750266000,16.21,16.35,16.13,16.32,15442.63
1750269600,16.32,16.42,16.19,16.19,25740.43
1750273200,16.18,16.39,16.16,16.27,10438.59
1750276800,16.27,16.6,16.21,16.58,24787.44
1750280400,16.59,16.6,16.46,16.58,8045.04
1750284000,16.57,16.59,16.51,16.54,6084.28
1750287600,16.53,16.59,16.47,16.54,7536.97
1750291200,16.54,16.66,16.45,16.55,10433.15
1750294800,16.55,16.55,16.42,16.44,8607.48
1750298400,16.45,16.52,16.39,16.45,6656.02
1750302000,16.45,16.58,16.45,16.57,8483.28
1750305600,16.57,16.6,16.51,16.59,9676.52
1750309200,16.6,16.67,16.57,16.57,6703.65
1750312800,16.57,16.61,16.46,16.48,12818.32
1750316400,16.49,16.53,16.48,16.48,2948.81
1750320000,16.48,16.53,16.48,16.48,4466.66
1750323600,16.48,16.67,16.48,16.63,7626.42
1750327200,16.63,16.74,16.59,16.71,70262.33
1750352400,16.44,16.67,16.41,16.6,12424.03
1750356000,16.6,16.68,16.55,16.62,4765.32
1750359600,16.63,16.68,16.56,16.67,5990.56
1750363200,16.67,16.78,16.62,16.68,23696.86
1750366800,16.67,16.72,16.64,16.68,8897.33
1750370400,16.67,16.79,16.67,16.74,15960.73
1750374000,16.74,16.78,16.69,16.71,6522.05
1750377600,16.72,16.78,16.71,16.72,8641.77
1750381200,16.72,16.73,16.66,16.72,8784.09
1750384800,16.71,16.71,16.62,16.64,6160.7699999999995
1750388400,16.64,16.65,16.58,16.59,5210.88
1750392000,16.6,16.61,16.44,16.45,11583.78
1750395600,16.46,16.52,16.41,16.5,7392.01
1750399200,16.5,16.58,16.5,16.56,11238.79
1750402800,16.56,16.84,16.55,16.82,17770.45
