timestamp,open,high,low,close,volume
1750176000,0.339,0.339,0.339,0.339,69.81
1750179600,0.339,0.344,0.338,0.342,296421.25
1750183200,0.342,0.346,0.341,0.346,188072.45
1750186800,0.347,0.349,0.345,0.347,241179.55
1750190400,0.347,0.349,0.345,0.345,97849.92
1750194000,0.345,0.346,0.343,0.345,152928.6
1750197600,0.345,0.345,0.343,0.343,84213.64
1750201200,0.343,0.346,0.343,0.345,120098.02
1750204800,0.345,0.346,0.344,0.346,141312.29
1750208400,0.346,0.348,0.344,0.344,117822.7
1750212000,0.344,0.345,0.344,0.345,83996.52
1750215600,0.344,0.347,0.344,0.346,36371.05
1750219200,0.346,0.349,0.346,0.348,102012.42
1750222800,0.348,0.349,0.347,0.347,108867.91
1750226400,0.347,0.348,0.345,0.345,62101.19
1750230000,0.345,0.347,0.345,0.346,45728.87
1750233600,0.346,0.347,0.343,0.345,108829.63
1750237200,0.345,0.345,0.342,0.343,153701.79
1750240800,0.342,0.343,0.34,0.342,222126.77
1750266000,0.342,0.345,0.341,0.343,287204.26
1750269600,0.344,0.345,0.341,0.341,477965.03
1750273200,0.34,0.344,0.34,0.341,453080.58999999997
1750276800,0.341,0.349,0.34,0.348,368502.63
1750280400,0.348,0.348,0.346,0.348,131870.44
1750284000,0.348,0.348,0.346,0.347,89368.26
1750287600,0.346,0.347,0.345,0.346,107776.48999999999
1750291200,0.346,0.348,0.345,0.346,144846.05
1750294800,0.346,0.347,0.344,0.345,112484.55
1750298400,0.345,0.347,0.344,0.345,85618.1
1750302000,0.345,0.348,0.345,0.347,96360.2
1750305600,0.347,0.348,0.346,0.347,156542.01
1750309200,0.347,0.348,0.346,0.346,59725.9
1750312800,0.346,0.346,0.344,0.344,67037.31
1750316400,0.344,0.346,0.343,0.344,130640.81
1750320000,0.344,0.346,0.344,0.344,37607.27
1750323600,0.344,0.347,0.344,0.346,45872.659999999996
1750327200,0.346,0.346,0.345,0.346,18326.67
1750352400,0.339,0.344,0.339,0.342,265407.24
1750356000,0.342,0.344,0.342,0.342,58695.6
1750359600,0.342,0.343,0.341,0.342,47951.11
1750363200,0.341,0.343,0.34,0.342,94393.18000000001
1750366800,0.342,0.342,0.34,0.341,107819.17
1750370400,0.342,0.344,0.341,0.342,218168.92
1750374000,0.342,0.344,0.341,0.343,184482.98
1750377600,0.343,0.345,0.342,0.344,257935.34999999998
1750381200,0.344,0.344,0.342,0.344,93453.98
1750384800,0.344,0.344,0.342,0.343,117704.51999999999
1750388400,0.343,0.344,0.343,0.344,55910.18
1750392000,0.344,0.345,0.34,0.34,140747.79
1750395600,0.34,0.343,0.34,0.343,123159.4
1750399200,0.343,0.346,0.343,0.345,52998.62
1750402800,0.345,0.348,0.343,0.347,406859.31
1750406400,0.347,0.349,0.346,0.347,263060.41
1750410000,0.347,0.348,0.346,0.347,161736.12
1750413600,0.347,0.348,0.346,0.347,24270.58
1750438800,0.337,0.338,0.328,0.335,703126.33
1750442400,0.335,0.337,0.333,0.336,157795.34
1750446000,0.336,0.336,0.333,0.336,126119.97
1750449600,0.336,0.339,0.336,0.337,224285.51
1750453200,0.337,0.338,0.334,0.335,138386.22
1750456800,0.335,0.335,0.331,0.333,121023.51
1750460400,0.333,0.335,0.332,0.335,45716.87
1750464000,0.335,0.336,0.333,0.336,152770.47
1750467600,0.336,0.338,0.335,0.337,85106.58
1750471200,0.337,0.337,0.336,0.336,22322.899999999998
1750474800,0.336,0.338,0.336,0.337,69459.09
1750478400,0.337,0.337,0.335,0.335,17744.989999999998
1750482000,0.336,0.338,0.336,0.337,110070.82
1750485600,0.337,0.338,0.337,0.338,2524.7
1750489200,0.338,0.339,0.337,0.337,75190.97
1750492800,0.337,0.339,0.337,0.339,59339.32
1750496400,0.338,0.339,0.337,0.338,221720.11
1750500000,0.338,0.338,0.338,0.338,266.8
1750525200,0.329,0.33,0.325,0.326,233629.67
1750528800,0.326,0.327,0.324,0.325,213315.48
1750532400,0.325,0.326,0.323,0.324,315758.12
1750536000,0.324,0.325,0.323,0.325,226176.52
1750539600,0.325,0.325,0.314,0.318,698226.31
1750543200,0.318,0.321,0.317,0.32,247740.11
1750546800,0.32,0.321,0.315,0.321,438028.39999999997
1750550400,0.321,0.324,0.319,0.323,295057.46
1750554000,0.323,0.323,0.319,0.32,258443.47
1750557600,0.32,0.321,0.315,0.318,359648.57
1750561200,0.318,0.319,0.316,0.317,146991.03
1750564800,0.317,0.321,0.317,0.319,182672.02
1750568400,0.319,0.321,0.318,0.32,101082.43
1750572000,0.32,0.322,0.32,0.32,78772.72
1750575600,0.32,0.321,0.316,0.316,300854.37
