timestamp,open,high,low,close,volume
1765353600,14.18,14.19,14.15,14.17,29759.81
1765357200,14.17,14.34,14.14,14.31,122080.7
1765360800,14.31,14.44,14.13,14.14,212853.01
1765364400,14.14,14.19,14.05,14.18,129412.14
1765368000,14.18,14.19,14.07,14.15,86964.41
1765371600,14.16,14.19,14.1,14.14,91702.09
1765375200,14.14,14.15,14.01,14.06,170139.14
1765378800,14.06,14.14,13.94,14.03,172038.82
1765382400,14.03,14.23,13.98,14.17,341474.23
1765386000,14.17,14.33,14.16,14.29,131412.39
1765389600,14.28,14.55,14.23,14.38,219639.64
1765393200,14.38,14.64,14.21,14.49,670535.73
1765396800,14.5,14.89,14.36,14.44,723878.03
1765400400,14.43,14.48,14.23,14.25,216619.85
1765404000,14.24,14.34,14.06,14.24,256709.19
1765407600,14.24,14.28,14.08,14.1,112895.45
1765411200,14.09,14.14,13.81,13.88,201007.38
1765414800,13.87,13.9,13.72,13.75,138845.47
1765418400,13.74,13.74,13.59,13.61,143671.09
1765422000,13.6,13.61,13.44,13.52,176346.77
1765425600,13.52,13.69,13.46,13.65,141332.28
1765429200,13.65,13.67,13.59,13.67,56312.52
1765432800,13.66,13.67,13.55,13.59,153195.03
1765436400,13.59,13.6,13.51,13.54,88881.79
1765440000,13.53,13.53,13.42,13.48,114028.8
1765443600,13.49,13.62,13.47,13.54,125989.85
1765447200,13.54,13.6,13.52,13.59,35260.86
1765450800,13.59,13.63,13.57,13.6,65411.31
1765454400,13.6,13.66,13.56,13.59,83951.99
1765458000,13.59,13.65,13.55,13.62,68008.69
1765461600,13.62,13.66,13.43,13.48,201265.02
1765465200,13.48,13.72,13.45,13.52,162090.43
1765468800,13.52,13.61,13.4,13.48,134388.28
1765472400,13.48,13.6,13.46,13.54,51638.22
1765501200,13.89,14.04,13.88,13.97,84381.84
1765504800,13.97,14.12,13.92,14.06,110241.68
1765508400,14.06,14.1,13.94,14.01,63359.3
1765512000,14.0,14.02,13.96,14.0,39672.69
1765515600,14.0,14.12,13.95,14.12,58398.49
1765519200,14.12,14.21,14.06,14.08,65511.03
1765522800,14.08,14.1,14.03,14.06,35822.79
1765526400,14.06,14.07,13.93,13.99,88320.95
1765530000,13.99,14.09,13.94,14.09,59152.6
1765533600,14.08,14.13,14.06,14.08,72421.92
1765537200,14.08,14.12,14.03,14.12,44943.7
1765540800,14.11,14.2,14.07,14.18,55793.22
1765544400,14.18,14.35,14.16,14.25,141908.11
1765548000,14.26,14.29,14.21,14.25,30867.18
