timestamp,open,high,low,close,volume
1765355460,5.611,5.614,5.607,5.607,3909.08
1765355520,5.607,5.608,5.604,5.604,2052.65
1765355580,5.604,5.604,5.595,5.596,1151.15
1765355640,5.595,5.597,5.592,5.597,900.13
1765355700,5.596,5.604,5.595,5.598,454.74
1765355760,5.598,5.602,5.598,5.601,1002.94
1765355820,5.601,5.603,5.6,5.603,538.18
1765355880,5.603,5.604,5.6,5.604,1020.33
1765355940,5.603,5.606,5.603,5.606,1418.67
1765356000,5.606,5.606,5.601,5.602,464.92
1765356060,5.603,5.603,5.6,5.603,754.37
1765356120,5.602,5.603,5.597,5.603,3555.11
1765356180,5.603,5.604,5.601,5.601,1168.5
1765356240,5.601,5.603,5.598,5.598,2147.1
1765356300,5.598,5.6,5.598,5.599,1169.85
1765356360,5.6,5.604,5.6,5.604,95.33
1765356420,5.603,5.604,5.603,5.604,162.1
1765356480,5.605,5.606,5.603,5.603,486.55
1765356540,5.603,5.603,5.598,5.598,1978.84
1765356600,5.597,5.597,5.594,5.596,984.23
1765356660,5.596,5.598,5.595,5.595,623.38
1765356720,5.596,5.597,5.592,5.593,1191.38
1765356780,5.593,5.594,5.589,5.589,2552.17
1765356840,5.59,5.59,5.589,5.59,339.09
1765356900,5.591,5.594,5.591,5.592,2290.52
1765356960,5.591,5.593,5.591,5.591,653.67
1765357020,5.591,5.595,5.589,5.594,9486.8
1765357080,5.594,5.594,5.592,5.592,1557.73
1765357140,5.592,5.592,5.587,5.588,707.96
1765357200,5.588,5.59,5.586,5.59,4375.97
1765357260,5.591,5.591,5.585,5.585,8284.4
1765357320,5.585,5.585,5.578,5.581,4610.14
1765357380,5.581,5.581,5.569,5.576,5978.37
1765357440,5.576,5.584,5.575,5.581,1700.29
1765357500,5.58,5.584,5.58,5.583,912.38
1765357560,5.582,5.588,5.582,5.588,416.01
1765357620,5.588,5.588,5.58,5.58,2113.38
1765357680,5.579,5.58,5.577,5.58,1136.52
1765357740,5.578,5.579,5.575,5.578,1841.94
1765357800,5.579,5.581,5.577,5.578,3700.57
1765357860,5.579,5.58,5.579,5.58,1970.81
1765357920,5.58,5.58,5.578,5.578,464.1
1765357980,5.577,5.577,5.573,5.576,871.25
1765358040,5.576,5.579,5.576,5.579,156.81
1765358100,5.58,5.581,5.577,5.579,50.59
1765358160,5.577,5.577,5.576,5.576,13.11
1765358220,5.576,5.576,5.567,5.567,1906.79
1765358280,5.568,5.57,5.566,5.57,1406.6
1765358340,5.57,5.574,5.57,5.572,3692.15
1765358400,5.572,5.575,5.569,5.575,9759.57
1765358460,5.574,5.574,5.569,5.569,1206.92
1765358520,5.571,5.572,5.567,5.569,2370.44
1765358580,5.568,5.569,5.564,5.569,2320.18
1765358640,5.569,5.57,5.568,5.569,314.9
1765358700,5.568,5.573,5.568,5.573,121.37
1765358760,5.572,5.574,5.569,5.574,1289.33
1765358820,5.573,5.573,5.571,5.571,416.71
1765358880,5.571,5.571,5.571,5.571,2.79
1765358940,5.571,5.573,5.571,5.572,184.22
1765359000,5.573,5.578,5.573,5.577,662.73
1765359060,5.579,5.585,5.579,5.582,2592.12
1765359120,5.583,5.584,5.583,5.583,124.55
1765359180,5.582,5.587,5.582,5.586,754.14
1765359240,5.585,5.585,5.582,5.582,508.97
1765359300,5.582,5.587,5.582,5.587,302.32
