timestamp,open,high,low,close,volume
1686614400,8.732,8.869,8.673,8.717,2530786.85
1686643200,8.715,8.948,8.536,8.541,4942934.9
1686672000,8.541,8.698,8.533,8.643,1946078.33
1686700800,8.643,8.712,8.589,8.604,1368808.69
1686729600,8.605,8.778,8.599,8.694,1873091.94
1686758400,8.695,8.843,8.366,8.496,6298057.19
1686787200,8.497,8.67,8.476,8.578,2975800.56
1686816000,8.579,8.656,8.484,8.532,3450697.46
1686844800,8.533,8.766,8.401,8.657,3877957.88
1686873600,8.658,8.761,8.553,8.723,1554087.44
1686902400,8.724,8.822,8.547,8.658,4176273.15
1686931200,8.659,8.937,8.646,8.756,2684144.51
1686960000,8.757,9.0,8.679,8.858,2024595.88
1686988800,8.858,8.945,8.811,8.867,1952171.39
1687017600,8.867,8.975,8.843,8.894,1452841.05
1687046400,8.895,8.928,8.744,8.774,2063812.25
1687075200,8.775,8.803,8.682,8.725,1490997.64
1687104000,8.724,8.758,8.45,8.557,2290950.42
1687132800,8.557,8.609,8.49,8.564,1188727.97
1687161600,8.564,8.564,8.383,8.461,2396006.16
1687190400,8.46,8.629,8.319,8.594,3557318.1
1687219200,8.594,8.66,8.542,8.589,1509865.03
1687248000,8.589,8.59,8.257,8.367,2849183.76
1687276800,8.367,8.79,8.334,8.762,6194973.6
1687305600,8.762,8.992,8.737,8.957,3451129.72
1687334400,8.957,8.965,8.741,8.882,4258287.68
1687363200,8.881,9.122,8.843,9.029,4484858.49
1687392000,9.03,9.289,9.017,9.244,2972761.47
1687420800,9.245,9.409,8.956,9.112,5116830.4
1687449600,9.113,9.23,8.991,8.996,2209352.47
1687478400,8.995,9.113,8.981,9.089,1564832.15
1687507200,9.089,9.368,9.053,9.322,2980013.78
1687536000,9.323,9.423,9.176,9.302,3339550.91
1687564800,9.303,9.477,9.231,9.307,2405458.66
1687593600,9.308,9.443,9.101,9.181,2448161.77
1687622400,9.18,9.38,9.076,9.379,1931503.23
1687651200,9.38,9.72,9.346,9.644,3020468.58
1687680000,9.642,9.74,9.462,9.477,2502369.43
1687708800,9.478,9.556,9.392,9.443,1528397.44
1687737600,9.443,9.457,9.2,9.374,2851079.91
1687766400,9.373,9.518,9.303,9.392,2847054.58
1687795200,9.391,9.425,9.083,9.175,2905445.48
1687824000,9.175,9.365,9.155,9.364,1744281.39
1687852800,9.365,9.442,9.211,9.264,2679906.27
1687881600,9.265,9.43,9.228,9.419,1693170.75
1687910400,9.418,9.43,9.13,9.172,2599324.73
1687939200,9.171,9.328,9.128,9.227,2683983.04
1687968000,9.226,9.276,8.886,9.117,3873983.99
1687996800,9.116,9.21,9.074,9.187,1318635.47
1688025600,9.188,9.433,9.125,9.251,3490318.52
1688054400,9.251,9.291,8.964,8.97,2623705.55
1688083200,8.97,9.389,8.85,9.229,5073038.64
1688112000,9.229,9.43,8.672,9.066,7158374.59
1688140800,9.065,9.406,9.009,9.28,4244038.55
1688169600,9.281,9.347,9.146,9.332,2414466.19
1688198400,9.333,9.428,9.264,9.4,2353437.77
1688227200,9.4,9.577,9.351,9.554,2983721.59
1688256000,9.555,9.583,9.329,9.46,2646426.34
1688284800,9.46,9.511,9.317,9.456,2010163.48
1688313600,9.456,9.596,9.349,9.595,2017420.01
1688342400,9.596,9.874,9.56,9.754,2910451.46
1688371200,9.754,9.968,9.741,9.927,3169883.8
1688400000,9.926,10.095,9.822,9.937,3008406.28
1688428800,9.937,9.958,9.77,9.796,2290901.67
1688457600,9.796,9.897,9.744,9.799,2624922.76
1688486400,9.798,9.819,9.612,9.679,2628380.89
1688515200,9.678,9.875,9.67,9.811,1739128.09
1688544000,9.811,9.863,9.243,9.304,5734236.95
1688572800,9.305,9.454,9.255,9.388,2760635.29
1688601600,9.387,9.547,9.272,9.525,2569120.35
1688630400,9.526,9.643,9.085,9.294,4799596.88
1688659200,9.294,9.481,9.161,9.164,3225319.09
1688688000,9.164,9.328,9.095,9.276,2508419.82
1688716800,9.276,9.371,9.245,9.299,2748337.64
1688745600,9.298,9.308,9.103,9.162,1923984.68
1688774400,9.163,9.232,9.099,9.221,1794479.69
1688803200,9.222,9.3,9.151,9.209,2117829.46
1688832000,9.209,9.242,9.073,9.197,1837474.94
1688860800,9.197,9.476,9.175,9.359,2743189.41
1688889600,9.358,9.444,9.327,9.391,2099557.02
1688918400,9.392,9.605,9.375,9.419,3720389.41
1688947200,9.419,9.43,9.203,9.249,3833760.23
1688976000,9.248,9.356,9.165,9.26,3267893.01
