timestamp,open,high,low,close,volume
1686614400,1.198,1.223,1.189,1.215,16136873.0
1686643200,1.215,1.246,1.184,1.188,29845494.0
1686672000,1.188,1.207,1.186,1.198,12355397.0
1686700800,1.199,1.206,1.184,1.19,10569313.0
1686729600,1.191,1.205,1.188,1.202,12405183.0
1686758400,1.202,1.242,1.142,1.176,52994575.0
1686787200,1.175,1.192,1.161,1.177,19676037.0
1686816000,1.177,1.187,1.16,1.168,28019051.0
1686844800,1.169,1.225,1.164,1.195,25998540.0
1686873600,1.195,1.205,1.181,1.205,10413477.0
1686902400,1.204,1.214,1.171,1.211,26969473.0
1686931200,1.212,1.238,1.207,1.214,18352590.0
1686960000,1.213,1.264,1.203,1.258,21072815.0
1686988800,1.257,1.277,1.246,1.268,25746577.0
1687017600,1.268,1.279,1.254,1.258,11686327.0
1687046400,1.258,1.265,1.236,1.251,16308853.0
1687075200,1.252,1.278,1.243,1.271,12937304.0
1687104000,1.271,1.274,1.207,1.236,23248398.0
1687132800,1.236,1.243,1.225,1.232,10794283.0
1687161600,1.232,1.235,1.205,1.215,15746075.0
1687190400,1.215,1.242,1.191,1.239,25512929.0
1687219200,1.239,1.257,1.227,1.238,14121580.0
1687248000,1.237,1.252,1.216,1.233,20698745.0
1687276800,1.232,1.311,1.227,1.298,29914321.0
1687305600,1.297,1.328,1.291,1.31,24899037.0
1687334400,1.31,1.332,1.291,1.321,27818461.0
1687363200,1.32,1.357,1.318,1.336,44569238.0
1687392000,1.336,1.38,1.335,1.373,23140008.0
1687420800,1.373,1.376,1.301,1.335,35739814.0
1687449600,1.335,1.356,1.321,1.324,15357774.0
1687478400,1.324,1.344,1.32,1.337,13849897.0
1687507200,1.338,1.379,1.317,1.377,29948985.0
1687536000,1.377,1.409,1.367,1.382,25733763.0
1687564800,1.381,1.45,1.376,1.438,33085030.0
1687593600,1.438,1.458,1.371,1.392,30164303.0
1687622400,1.392,1.416,1.375,1.411,15703534.0
1687651200,1.412,1.449,1.401,1.438,22938184.0
1687680000,1.439,1.462,1.408,1.42,22717397.0
1687708800,1.42,1.433,1.388,1.397,13003774.0
1687737600,1.398,1.603,1.351,1.575,166447819.0
1687766400,1.575,1.635,1.528,1.595,246379910.0
1687795200,1.595,1.609,1.475,1.484,96347781.0
1687824000,1.484,1.507,1.458,1.48,56710000.0
1687852800,1.481,1.504,1.444,1.455,55395959.0
1687881600,1.456,1.497,1.452,1.476,25136508.0
1687910400,1.476,1.479,1.375,1.39,45147096.0
1687939200,1.389,1.417,1.38,1.408,29012423.0
1687968000,1.408,1.414,1.321,1.362,37278184.0
1687996800,1.362,1.365,1.344,1.352,15947755.0
1688025600,1.352,1.396,1.341,1.368,35260931.0
1688054400,1.368,1.379,1.336,1.348,23664272.0
1688083200,1.349,1.414,1.325,1.377,37599231.0
1688112000,1.377,1.444,1.268,1.323,79094341.0
1688140800,1.324,1.39,1.314,1.385,34522772.0
1688169600,1.385,1.401,1.352,1.385,29554027.0
1688198400,1.385,1.417,1.372,1.415,22798643.0
1688227200,1.414,1.485,1.41,1.484,56748896.0
1688256000,1.484,1.488,1.432,1.446,39688038.0
1688284800,1.447,1.475,1.425,1.443,38244294.0
1688313600,1.444,1.477,1.426,1.466,27129513.0
1688342400,1.467,1.487,1.445,1.471,26210232.0
1688371200,1.472,1.482,1.443,1.46,31267994.0
1688400000,1.461,1.462,1.427,1.457,24504599.0
1688428800,1.456,1.457,1.418,1.421,21494502.0
1688457600,1.421,1.439,1.409,1.416,20123182.0
1688486400,1.417,1.425,1.38,1.397,22522444.0
1688515200,1.398,1.416,1.393,1.404,10462452.0
1688544000,1.404,1.407,1.331,1.342,42206741.0
1688572800,1.343,1.359,1.335,1.353,15591539.0
1688601600,1.354,1.368,1.339,1.364,14073253.0
1688630400,1.364,1.393,1.284,1.324,42043884.0
1688659200,1.324,1.348,1.306,1.309,21946546.0
1688688000,1.308,1.35,1.294,1.349,23962003.0
1688716800,1.349,1.368,1.336,1.349,32408095.0
1688745600,1.35,1.357,1.321,1.33,15166919.0
1688774400,1.331,1.35,1.325,1.338,15878881.0
1688803200,1.338,1.398,1.336,1.381,45457104.0
1688832000,1.38,1.396,1.36,1.381,23474980.0
1688860800,1.382,1.392,1.342,1.345,18655098.0
1688889600,1.345,1.355,1.324,1.339,24833749.0
1688918400,1.338,1.339,1.316,1.325,15104726.0
1688947200,1.326,1.327,1.287,1.299,24824703.0
1688976000,1.3,1.326,1.284,1.325,20999385.0
1689004800,1.324,1.361,1.313,1.329,25532221.0
1689033600,1.329,1.352,1.323,1.333,16390207.0
1689062400,1.334,1.336,1.313,1.317,16422142.0
1689091200,1.318,1.333,1.304,1.328,11167861.0
1689120000,1.329,1.36,1.326,1.355,12089377.0
1689148800,1.354,1.371,1.337,1.348,28923101.0
1689177600,1.348,1.352,1.304,1.328,18846907.0
1689206400,1.328,1.335,1.313,1.326,10272472.0
1689235200,1.326,1.398,1.323,1.384,30990760.0
1689264000,1.384,1.469,1.382,1.464,57531621.0
1689292800,1.464,1.522,1.459,1.51,48351251.0
1689321600,1.51,1.595,1.493,1.568,82937389.0
1689350400,1.569,1.593,1.446,1.497,78059956.0
1689379200,1.497,1.512,1.459,1.504,18046948.0
1689408000,1.503,1.527,1.478,1.485,20034937.0
1689436800,1.486,1.507,1.473,1.491,10432200.0
1689465600,1.491,1.506,1.452,1.484,15944575.0
1689494400,1.484,1.512,1.471,1.501,12983211.0
1689523200,1.5,1.51,1.435,1.446,17204093.0
1689552000,1.445,1.507,1.434,1.503,18515437.0
1689580800,1.503,1.506,1.421,1.46,42046698.0
1689609600,1.459,1.502,1.423,1.499,26176047.0
1689638400,1.499,1.514,1.446,1.455,19245360.0
1689667200,1.455,1.486,1.44,1.475,26128523.0
