timestamp,open,high,low,close,volume
1709280000,2.995,2.995,2.6687,2.6765,5030344.9
1709308800,2.6765,2.7846,2.665,2.712,3868798.3
1709337600,2.7134,2.761,2.6267,2.7295,3147515.2
1709366400,2.7254,2.7479,2.6705,2.7098,2505589.8
1709395200,2.7092,2.7417,2.6804,2.7198,1420526.0
1709424000,2.7188,2.7454,2.5,2.6046,3130418.3
1709452800,2.604,2.6754,2.5863,2.6496,2149188.1
1709481600,2.6505,2.6932,2.6378,2.6767,1264433.1
1709510400,2.6767,2.72,2.6443,2.7065,1376061.0
1709539200,2.7064,2.7876,2.6646,2.752,3179060.1
1709568000,2.7527,2.7617,2.6694,2.7328,2198222.2
1709596800,2.7333,2.7629,2.6538,2.6977,2133829.4
1709625600,2.6977,2.7489,2.63,2.6888,2392402.4
1709654400,2.6905,2.7027,2.1612,2.5951,5016088.4
1709683200,2.5952,2.7018,2.5589,2.6976,1786619.9
1709712000,2.6991,2.8303,2.619,2.7015,5243026.6
1709740800,2.7011,2.7208,2.6585,2.6841,1510340.3
1709769600,2.6846,2.7454,2.6749,2.6861,1552441.6
1709798400,2.6861,2.7373,2.6586,2.7166,1939953.5
1709827200,2.7164,2.7687,2.6964,2.7557,1026993.4
1709856000,2.7556,2.8042,2.7162,2.7722,1286431.6
1709884800,2.7719,2.812,2.6983,2.7236,2205622.8
1709913600,2.7233,2.8499,2.6806,2.837,1641867.1
1709942400,2.8358,2.8863,2.7765,2.8642,1665312.3
1709971200,2.8644,2.92,2.8191,2.8796,1964615.4
1710000000,2.8796,2.8848,2.8256,2.8813,948261.7
1710028800,2.8809,2.8876,2.825,2.8673,912852.0
1710057600,2.8673,2.8838,2.7656,2.7961,1138121.0
1710086400,2.7961,2.8515,2.766,2.8216,1535581.5
1710115200,2.8214,2.8545,2.7227,2.8473,1598676.5
1710144000,2.8458,3.2572,2.8385,3.0527,17876159.2
1710172800,3.053,3.3582,3.0431,3.2925,9918988.6
1710201600,3.2926,3.9493,3.2634,3.6749,29063687.9
1710230400,3.6738,3.7991,3.503,3.6501,17904928.1
1710259200,3.6513,4.2457,3.462,4.0718,13585835.9
1710288000,4.0697,4.5406,4.0141,4.4112,20081096.0
1710316800,4.4076,4.5961,4.24,4.593,18064691.7
1710345600,4.5932,4.6265,4.2743,4.3177,7909260.6
1710374400,4.3177,4.3625,4.0348,4.2329,7020972.1
1710403200,4.2312,4.347,4.0531,4.0798,7647227.9
1710432000,4.0815,4.1611,3.7697,4.0403,7241826.2
1710460800,4.0408,4.0968,3.6342,3.9023,5821576.2
1710489600,3.9017,3.9441,3.5182,3.8598,7227262.1
1710518400,3.8609,4.167,3.7903,3.8902,5937032.7
1710547200,3.8898,3.9232,3.693,3.8377,2883389.0
1710576000,3.8346,3.851,3.5902,3.7075,3013886.4
1710604800,3.7072,3.7394,3.4696,3.5279,3674929.4
1710633600,3.528,3.59,3.3213,3.4399,2609065.6
1710662400,3.4406,3.9295,3.4347,3.8736,5474764.3
1710691200,3.8739,4.0759,3.8229,3.8647,5727148.2
1710720000,3.8655,4.0619,3.733,4.0303,4739677.1
1710748800,4.0317,4.0335,3.63,3.7353,6491245.9
1710777600,3.7358,3.9875,3.6594,3.8261,6126131.8
1710806400,3.8232,3.9858,3.55,3.8302,8377661.1
1710835200,3.8305,4.0049,3.6081,3.9982,9632716.0
1710864000,3.9972,4.0261,3.7081,3.7893,5443657.3
1710892800,3.7894,3.9326,3.7003,3.9178,5141743.5
1710921600,3.9187,4.422,3.8915,4.2476,19349948.9
1710950400,4.2492,4.2855,4.0593,4.2337,7334893.1
1710979200,4.2337,4.3682,4.1251,4.1552,4969699.6
1711008000,4.1549,4.221,4.0812,4.1446,3559828.6
1711036800,4.1441,4.1624,4.0398,4.0655,2566005.2
1711065600,4.064,4.4959,4.0379,4.4612,5325325.4
1711094400,4.4621,4.4917,4.151,4.2634,7401387.9
1711123200,4.2633,4.4874,4.1861,4.4494,7203564.1
1711152000,4.4498,4.9763,4.3859,4.9461,20456791.1
1711180800,4.9454,5.1839,4.7381,4.9897,27014105.2
1711209600,4.9898,5.3,4.8126,4.8234,13204331.2
1711238400,4.8234,5.1581,4.8044,4.982,9127972.3
1711267200,4.9812,4.9994,4.8277,4.9432,6586507.6
1711296000,4.9428,5.0293,4.87,4.9841,3898894.1
1711324800,4.9841,5.5675,4.9307,5.3223,13156318.5
1711353600,5.3227,5.6938,5.2733,5.4701,12413554.2
1711382400,5.4723,5.6026,5.3466,5.3535,5643950.6
1711411200,5.3532,5.4364,5.2758,5.3266,4605627.2
1711440000,5.3266,5.3705,5.0324,5.135,8798543.3
1711468800,5.1351,5.1645,4.9949,5.0601,4530340.3
1711497600,5.0601,5.0909,4.8506,4.943,5895043.2
1711526400,4.9449,5.2854,4.81,4.9446,11261405.7
1711555200,4.9444,5.073,4.92,4.9735,3088212.1
1711584000,4.9721,5.0158,4.8001,4.9461,3025203.7
1711612800,4.9483,5.1405,4.89,5.0457,5513950.0
1711641600,5.0458,5.0664,4.86,4.9022,3639704.3
1711670400,4.9035,4.962,4.769,4.7956,2617848.5
1711699200,4.7956,5.1724,4.794,5.0151,6180471.0
1711728000,5.0146,5.1663,5.0033,5.0262,3347511.7
1711756800,5.0259,5.1215,4.9769,5.058,2414867.0
1711785600,5.057,5.3579,5.0385,5.3112,8841357.3
1711814400,5.3125,5.3741,5.2212,5.2687,3253707.8
1711843200,5.2692,5.2782,5.0906,5.1698,3357286.2
1711872000,5.1694,5.2347,5.1449,5.2218,1626654.9
1711900800,5.2194,5.4511,5.1706,5.428,3602348.4
1711929600,5.4279,5.5117,5.0,5.2361,6057170.5
1711958400,5.2369,5.5479,5.1904,5.3347,8751751.1
1711987200,5.3346,5.384,5.233,5.3517,3902923.1
1712016000,5.3526,5.3886,4.9851,5.1688,5717629.7
1712044800,5.1703,5.202,4.8556,4.9094,7090944.8
1712073600,4.9093,4.9881,4.8518,4.8562,2297487.1
1712102400,4.8579,5.1777,4.7265,5.0933,3738872.8
1712131200,5.0942,5.2261,4.9901,5.0043,4468275.8
1712160000,5.0043,5.0796,4.9023,4.9544,2005911.1
1712188800,4.9553,5.0597,4.8937,5.029,1689599.6
1712217600,5.029,5.1551,5.0157,5.1217,2433649.4
1712246400,5.1217,5.1526,4.9768,5.0986,2066245.3
1712275200,5.0979,5.2419,5.0459,5.1846,3533628.0
1712304000,5.1825,5.4988,5.1302,5.3946,9646545.9
1712332800,5.3951,5.5115,5.31,5.3252,5258380.3
1712361600,5.3261,5.4465,5.2891,5.4093,3013970.9
1712390400,5.4094,5.5653,5.357,5.401,5057434.0
1712419200,5.4003,5.56,5.3807,5.4907,2355682.0
1712448000,5.4907,5.5054,5.38,5.4405,2245469.2
1712476800,5.4404,5.4499,5.3356,5.3413,2100596.8
1712505600,5.3414,5.4106,5.3303,5.3584,1137420.6
1712534400,5.3584,5.5506,5.33,5.4926,2735575.4
1712563200,5.4923,6.046,5.4859,6.0057,12739769.7
1712592000,6.0054,6.5249,6.0007,6.347,17372266.6
1712620800,6.3469,7.0345,6.2892,6.8005,29256357.7
1712649600,6.7994,7.1298,6.5,6.7173,35458435.7
1712678400,6.7166,6.8114,6.5316,6.7231,10171107.6
1712707200,6.724,6.8999,6.3606,6.786,17685931.1
1712736000,6.786,6.9733,6.5601,6.8317,15873917.7
1712764800,6.8329,6.8629,6.6069,6.7754,6128663.9
1712793600,6.7761,7.675,6.692,7.4903,24307889.9
1712822400,7.4904,7.5463,7.1804,7.3081,13822830.3
1712851200,7.3082,7.3372,7.1453,7.2565,7305192.4
1712880000,7.2564,7.49,6.9899,7.0312,9139594.9
1712908800,7.0311,7.2733,7.001,7.0596,9118776.9
1712937600,7.0605,7.0716,4.9354,6.6201,36716044.9
1712966400,6.6198,6.965,6.1678,6.8304,14856290.6
1712995200,6.8306,6.9534,6.5631,6.6371,12099612.0
1713024000,6.6379,6.7622,5.0,5.9577,44289506.5
1713052800,5.9578,6.6,5.7116,6.4992,14678177.5
1713081600,6.4988,6.6822,6.2303,6.4319,14456314.7
1713110400,6.4329,6.799,6.2222,6.7792,12522545.2
1713139200,6.7775,7.2442,6.7028,7.0855,13553164.4
1713168000,7.0846,7.1613,6.5863,6.7874,12909264.9
1713196800,6.788,6.9112,6.5,6.5662,11842985.2
1713225600,6.5667,6.6949,6.2666,6.3658,8531571.8
1713254400,6.3658,6.373,5.9176,5.9387,12716998.1
1713283200,5.9386,6.4488,5.9116,6.3403,10354640.3
1713312000,6.3411,6.692,6.2675,6.3723,8758044.0
1713340800,6.3723,6.4567,6.0204,6.0891,10261141.0
1713369600,6.0875,6.2493,6.0122,6.0836,8613615.2
1713398400,6.083,6.1911,5.8062,5.916,7314160.6
1713427200,5.9162,6.3676,5.8998,6.2243,13280776.6
1713456000,6.2243,6.6087,6.1762,6.5165,8322722.0
1713484800,6.5165,7.0125,6.21,6.9071,22690192.5
1713513600,6.9085,7.2755,6.2,6.3622,65009586.6
1713542400,6.3646,6.3889,5.956,6.0613,16695710.4
1713571200,6.0612,6.2274,5.9049,6.224,8382944.7
1713600000,6.2245,6.3621,6.0508,6.17,10765276.6
1713628800,6.17,6.2772,6.0609,6.211,7921239.8
1713657600,6.211,6.3025,6.1229,6.2441,6233992.7
1713686400,6.2439,6.275,6.075,6.1072,6990455.7
1713715200,6.1072,6.1687,5.9625,6.1334,5548697.1
1713744000,6.1331,6.2407,6.1002,6.1406,6588541.2
1713772800,6.1406,6.1911,6.04,6.0558,5708232.4
1713801600,6.0559,6.0799,5.8087,5.9302,9310482.7
1713830400,5.9302,6.07,5.4954,5.5425,14017870.9
1713859200,5.543,5.7305,5.4114,5.6742,13806436.5
1713888000,5.6745,5.7654,5.6134,5.7098,5703972.4
1713916800,5.7098,5.982,5.6865,5.8694,7728070.7
