timestamp,open,high,low,close,volume
1686614400,15.15,15.48,15.05,15.32,100318.64
1686643200,15.32,15.55,15.01,15.04,182659.21
1686672000,15.03,15.27,15.03,15.27,41639.87
1686700800,15.27,15.36,15.15,15.17,54597.18
1686729600,15.18,15.34,15.16,15.25,47387.52
1686758400,15.24,15.35,14.38,14.75,264486.05
1686787200,14.75,15.05,14.69,14.82,137580.52
1686816000,14.82,15.0,14.66,14.89,119636.18
1686844800,14.9,15.19,14.73,15.08,75064.81
1686873600,15.08,15.12,14.99,15.03,45575.58
1686902400,15.03,15.09,14.72,15.0,119627.71
1686931200,15.01,15.31,14.96,15.25,88178.64
1686960000,15.25,15.56,15.11,15.43,113530.52
1686988800,15.43,15.45,15.26,15.33,69537.27
1687017600,15.32,15.41,15.28,15.34,41171.46
1687046400,15.34,15.49,15.18,15.44,79485.28
1687075200,15.45,15.55,15.36,15.48,56091.3
1687104000,15.48,15.51,15.0,15.23,95135.51
1687132800,15.24,15.3,15.08,15.28,34212.03
1687161600,15.28,15.33,15.15,15.2,50501.14
1687190400,15.2,15.46,15.05,15.39,81679.89
1687219200,15.39,15.49,15.22,15.28,72524.38
1687248000,15.28,15.29,14.99,15.18,67794.36
1687276800,15.19,15.83,15.15,15.79,162806.83
1687305600,15.8,16.83,15.74,16.59,311760.51
1687334400,16.58,16.66,16.26,16.54,203131.25
1687363200,16.53,16.99,16.51,16.79,189696.63
1687392000,16.79,17.54,16.73,17.13,284565.46
1687420800,17.14,17.25,16.37,16.71,214685.06
1687449600,16.7,16.88,16.56,16.62,70186.29
1687478400,16.63,17.27,16.62,17.05,133145.83
1687507200,17.05,17.67,16.77,17.6,191370.63
1687536000,17.6,19.25,17.52,18.89,1105036.28
1687564800,18.89,19.74,18.41,18.88,886648.0
1687593600,18.88,19.38,17.96,18.34,695281.02
1687622400,18.34,19.43,18.02,19.23,472262.51
1687651200,19.24,19.57,18.72,18.83,578562.6
1687680000,18.82,18.95,18.27,18.39,303065.72
1687708800,18.38,18.51,18.09,18.35,136943.87
1687737600,18.35,18.46,17.73,18.22,365077.36
1687766400,18.23,19.49,18.07,19.09,722344.16
1687795200,19.09,19.2,18.05,18.61,544946.51
1687824000,18.62,18.84,18.26,18.44,259520.67
1687852800,18.44,18.91,18.32,18.33,353348.47
1687881600,18.33,18.91,18.27,18.69,164348.32
1687910400,18.69,18.71,17.56,17.66,264413.62
1687939200,17.65,18.04,17.62,17.98,174547.19
1687968000,17.98,18.01,17.0,17.48,259709.29
1687996800,17.48,17.88,17.45,17.83,215081.02
1688025600,17.83,18.59,17.8,18.03,315143.47
1688054400,18.04,18.15,17.83,18.02,104390.1
1688083200,18.03,20.04,17.96,19.98,1607049.67
1688112000,19.98,21.03,18.06,19.2,2264212.1
