timestamp,open,high,low,close,volume
1686614400,77.5,78.89,76.73,78.44,165742.273
1686643200,78.44,79.79,76.26,76.7,297546.012
1686672000,76.7,77.88,76.63,77.5,97018.549
1686700800,77.5,78.14,77.05,77.35,106756.225
1686729600,77.35,77.96,77.09,77.47,98716.317
1686758400,77.46,78.02,70.75,73.15,473320.649
1686787200,73.15,73.78,72.08,72.73,164948.954
1686816000,72.74,74.36,72.22,73.69,192272.837
1686844800,73.69,75.14,72.92,74.6,155749.13
1686873600,74.61,75.55,74.13,75.3,84633.903
1686902400,75.29,75.81,74.12,75.69,190379.424
1686931200,75.67,76.91,75.37,76.13,144217.41
1686960000,76.13,77.87,75.73,77.57,124555.09
1686988800,77.58,77.79,76.41,76.79,121195.623
1687017600,76.8,77.42,76.63,76.86,56047.823
1687046400,76.87,77.57,76.22,77.1,72628.131
1687075200,77.12,77.68,76.93,77.6,80496.518
1687104000,77.6,78.47,76.51,77.19,140881.738
1687132800,77.2,77.62,76.65,77.39,59545.505
1687161600,77.38,77.5,76.21,76.8,117376.342
1687190400,76.79,77.83,76.05,77.48,139673.68
1687219200,77.48,78.33,76.7,77.2,94029.589
1687248000,77.2,77.33,75.68,76.64,95579.925
1687276800,76.64,80.95,76.36,80.33,360737.452
1687305600,80.34,85.07,80.0,84.43,442135.79
1687334400,84.43,85.35,83.38,84.54,352014.776
1687363200,84.54,87.4,84.27,85.05,435207.324
1687392000,85.04,88.85,84.74,87.03,370502.827
1687420800,87.02,87.5,84.0,85.43,294219.326
1687449600,85.43,86.42,85.07,85.93,132178.522
1687478400,85.94,87.0,85.53,86.44,152620.312
1687507200,86.43,89.17,85.02,88.64,291783.659
1687536000,88.64,93.12,87.82,91.26,590109.906
1687564800,91.28,93.8,89.12,90.85,305082.519
1687593600,90.84,91.54,86.8,87.51,267729.438
1687622400,87.51,89.87,86.35,89.71,261342.096
1687651200,89.72,90.46,88.74,89.06,218058.993
1687680000,89.05,89.36,87.04,88.1,223795.675
1687708800,88.1,88.52,86.6,88.2,124653.883
1687737600,88.2,88.85,86.3,87.63,203437.688
1687766400,87.63,90.35,86.94,88.67,258041.036
1687795200,88.67,88.77,85.74,87.21,195034.314
1687824000,87.22,88.55,86.9,88.39,156299.136
1687852800,88.4,89.44,87.01,87.45,223859.044
1687881600,87.46,88.53,87.32,88.07,90186.773
1687910400,88.06,88.1,84.37,84.8,187618.66
1687939200,84.78,86.15,84.53,85.81,194848.921
1687968000,85.8,85.96,81.36,83.02,257307.154
1687996800,83.01,84.15,82.91,84.01,142007.37
1688025600,84.01,85.75,83.72,84.5,224020.001
1688054400,84.51,85.1,83.87,84.73,118596.436
1688083200,84.73,97.17,84.28,95.14,1285473.979
1688112000,95.14,104.0,88.2,97.44,2523803.863
1688140800,97.43,112.0,96.34,108.7,1665437.451
1688169600,108.7,110.0,102.86,107.04,915284.524
1688198400,107.04,113.0,103.67,105.26,1303643.024
1688227200,105.25,107.69,104.18,107.1,395216.852
1688256000,107.1,112.9,105.09,110.98,948782.709
1688284800,110.98,113.99,107.32,111.86,815971.405
1688313600,111.86,114.0,109.5,113.58,534483.661
1688342400,113.57,115.0,111.19,112.34,394632.949
1688371200,112.34,112.34,108.04,109.41,563177.544
1688400000,109.41,109.54,105.55,107.27,486776.452
1688428800,107.27,109.59,105.07,106.9,356382.645
1688457600,106.89,108.61,106.13,106.95,267505.845
1688486400,106.95,107.84,103.5,104.27,311677.88
1688515200,104.27,106.0,104.04,105.03,181718.189
1688544000,105.02,106.63,98.6,100.08,914202.079
1688572800,100.07,103.0,99.28,102.6,314507.548
1688601600,102.6,105.58,101.6,103.86,390530.44
1688630400,103.88,105.95,96.12,98.62,912471.748
1688659200,98.62,99.2,95.14,95.25,400633.701
1688688000,95.25,97.6,94.21,96.08,344380.947
1688716800,96.07,97.98,95.11,97.72,332519.029
1688745600,97.71,98.61,96.55,98.23,189924.122
