timestamp,open,high,low,close,volume
1723104000,4.352,6.47,4.352,6.276,5001484.14
1723132800,6.275,6.316,6.056,6.218,2200170.97
1723161600,6.217,6.6,6.081,6.405,4710112.59
1723190400,6.405,6.832,6.376,6.741,4805286.79
1723219200,6.741,6.817,6.514,6.619,1712766.89
1723248000,6.619,6.739,6.605,6.711,1300018.48
1723276800,6.711,6.846,6.599,6.607,2956849.3
1723305600,6.607,6.729,6.604,6.673,876541.36
1723334400,6.674,6.725,6.576,6.596,1093262.49
1723363200,6.596,6.639,6.28,6.296,2063557.72
1723392000,6.297,6.359,6.154,6.21,1458722.81
1723420800,6.21,6.316,6.057,6.294,1546001.45
1723449600,6.294,6.63,6.243,6.504,3093573.34
1723478400,6.504,6.516,6.192,6.27,1216693.77
1723507200,6.271,6.356,6.186,6.32,1003969.48
1723536000,6.32,6.419,6.24,6.314,1828133.33
1723564800,6.314,6.531,6.305,6.456,1485879.41
1723593600,6.455,6.79,6.392,6.76,1711823.59
1723622400,6.76,7.269,6.714,6.956,7092643.88
1723651200,6.955,7.081,6.888,6.89,2098308.95
1723680000,6.889,6.914,6.627,6.697,2070171.22
1723708800,6.697,6.725,6.475,6.702,3674142.14
1723737600,6.702,6.727,6.43,6.597,2584049.78
1723766400,6.598,6.886,6.544,6.642,5610808.46
1723795200,6.642,6.661,6.376,6.458,4757442.91
1723824000,6.458,6.576,6.456,6.538,1801068.84
1723852800,6.537,6.578,6.5,6.551,911795.79
1723881600,6.552,6.556,6.382,6.465,1991646.31
1723910400,6.464,6.494,6.427,6.438,629782.6
1723939200,6.439,6.547,6.409,6.523,927184.57
1723968000,6.524,6.777,6.49,6.681,2233033.42
1723996800,6.681,7.104,6.611,6.887,2635944.59
1724025600,6.887,7.068,6.771,6.782,2835772.81
1724054400,6.782,6.852,6.709,6.745,2029959.48
1724083200,6.745,6.862,6.73,6.832,2552558.27
1724112000,6.832,6.932,6.809,6.865,1742126.53
1724140800,6.864,6.875,6.592,6.625,2129199.72
1724169600,6.625,6.732,6.615,6.664,1170092.63
1724198400,6.665,6.686,6.609,6.675,980530.0
1724227200,6.674,6.772,6.63,6.686,1916839.0
1724256000,6.686,6.745,6.479,6.496,2415610.12
1724284800,6.496,6.6,6.43,6.495,2008582.51
1724313600,6.495,6.58,6.486,6.518,1941853.61
1724342400,6.518,6.59,6.486,6.504,1186166.52
1724371200,6.504,6.623,6.493,6.575,1283108.92
1724400000,6.574,6.644,6.5,6.588,2012372.28
1724428800,6.588,6.814,6.574,6.7,2936242.01
1724457600,6.701,6.757,6.651,6.72,1315018.02
1724486400,6.72,6.86,6.706,6.851,2158781.94
1724515200,6.85,6.878,5.452,5.927,34355312.47
1724544000,5.926,5.994,5.322,5.373,24873363.76
1724572800,5.374,5.95,5.245,5.873,20108648.4
1724601600,5.873,5.976,5.737,5.77,12276681.76
